day,btc,eth
2017-11-14,6605.0,335.04
2017-11-15,7294.0,331.81
2017-11-16,7838.53,330.21
2017-11-17,7714.71,332.31
2017-11-18,7777.01,346.6
2017-11-19,8031.82,354.59
2017-11-20,8256.01,368.24
2017-11-21,8109.0,361.51
2017-11-22,8250.0,381.73
2017-11-23,8031.16,406.61
2017-11-24,8215.01,470.98
2017-11-25,8795.5,466.77
2017-11-26,9401.11,473.99
2017-11-27,9768.71,477.53
2017-11-28,9949.0,468.52
2017-11-29,9935.98,434.01
2017-11-30,9903.0,434.0
2017-12-01,10869.84,463.82
2017-12-02,10930.24,460.34
2017-12-03,11290.0,465.0
2017-12-04,11643.98,468.22
2017-12-05,11718.35,457.3
2017-12-06,14090.0,432.49
2017-12-07,17390.01,433.28
2017-12-08,16367.03,463.45
2017-12-09,15309.98,485.04
2017-12-10,15290.01,447.51
2017-12-11,16885.76,518.0
2017-12-12,17730.12,686.82
2017-12-13,16689.61,711.94
2017-12-14,16749.78,705.01
2017-12-15,17738.67,693.5
2017-12-16,19650.01,703.59
2017-12-17,19378.99,732.18
2017-12-18,19039.01,785.65
2017-12-19,17838.73,826.65
2017-12-20,16496.89,802.86
2017-12-21,15758.8,796.98
2017-12-22,14210.57,682.11
2017-12-23,15075.89,732.8
2017-12-24,14221.94,697.04
2017-12-25,14171.98,740.5
2017-12-26,15790.88,755.07
2017-12-27,15367.08,739.99
2017-12-28,14450.01,719.5
2017-12-29,14565.05,748.89
2017-12-30,12839.99,710.58
2017-12-31,13863.13,741.27
2018-01-01,13480.01,759.03
2018-01-02,14781.51,865.0
2018-01-03,15098.14,938.31
2018-01-04,15144.99,949.0
2018-01-05,16960.01,969.27
2018-01-06,17098.99,1006.68
2018-01-07,16174.22,1118.3
2018-01-08,14993.74,1137.01
2018-01-09,14480.99,1290.01
2018-01-10,14875.18,1246.94
2018-01-11,13308.06,1137.01
2018-01-12,13820.0,1260.0
2018-01-13,14187.95,1386.02
2018-01-14,13656.23,1365.46
2018-01-15,13590.0,1278.63
2018-01-16,11570.01,1080.0
2018-01-17,11200.01,1028.06
2018-01-18,11305.53,1025.78
2018-01-19,11498.99,1037.45
2018-01-20,12762.8,1150.02
2018-01-21,11518.17,1047.13
2018-01-22,10766.7,999.68
2018-01-23,10824.94,984.03
2018-01-24,11356.79,1056.99
2018-01-25,11118.0,1040.0
2018-01-26,11086.89,1045.57
2018-01-27,11319.0,1100.0
2018-01-28,11536.0,1215.01
2018-01-29,11123.01,1162.27
2018-01-30,9995.0,1054.39
2018-01-31,10099.99,1105.01
2018-02-01,9014.23,1017.48
2018-02-02,8787.52,911.99
2018-02-03,9240.0,969.4
2018-02-04,8167.91,826.0
2018-02-05,6905.19,693.54
2018-02-06,7688.46,783.83
2018-02-07,7575.75,750.04
2018-02-08,8218.1,812.0
2018-02-09,8671.01,875.99
2018-02-10,8547.49,849.47
2018-02-11,8072.99,811.35
2018-02-12,8872.28,864.4
2018-02-13,8520.01,840.49
2018-02-14,9472.98,920.26
2018-02-15,10031.23,929.3
2018-02-16,10167.49,936.02
2018-02-17,11121.5,974.99
2018-02-18,10380.04,912.41
2018-02-19,11140.0,939.01
2018-02-20,11235.57,884.76
2018-02-21,10454.27,840.34
2018-02-22,9830.0,806.0
2018-02-23,10144.99,854.01
2018-02-24,9688.62,833.2
2018-02-25,9597.99,841.96
2018-02-26,10300.0,867.09
2018-02-27,10566.57,871.07
2018-02-28,10307.27,849.99
2018-03-01,10895.92,868.74
2018-03-02,11000.0,854.31
2018-03-03,11432.5,854.34
2018-03-04,11469.9,861.74
2018-03-05,11377.54,848.83
2018-03-06,10700.0,815.43
2018-03-07,9925.0,751.38
2018-03-08,9304.89,698.83
2018-03-09,9255.0,728.46
2018-03-10,8795.44,683.6
2018-03-11,9533.88,719.79
2018-03-12,9120.0,696.51
2018-03-13,9145.41,690.39
2018-03-14,8207.02,614.63
2018-03-15,8259.99,610.99
2018-03-16,8275.0,600.51
2018-03-17,7857.6,549.79
2018-03-18,8192.0,538.0
2018-03-19,8589.0,555.55
2018-03-20,8900.0,558.0
2018-03-21,8891.81,559.98
2018-03-22,8715.09,539.89
2018-03-23,8927.1,543.04
2018-03-24,8531.34,519.57
2018-03-25,8453.0,522.55
2018-03-26,8145.0,486.75
2018-03-27,7793.61,449.0
2018-03-28,7942.72,445.47
2018-03-29,7080.0,383.29
2018-03-30,6848.01,394.46
2018-03-31,6928.5,394.54
2018-04-01,6816.01,378.18
2018-04-02,7045.01,384.0
2018-04-03,7424.9,416.28
2018-04-04,6791.68,378.43
2018-04-05,6785.85,381.55
2018-04-06,6619.01,370.32
2018-04-07,6894.01,384.61
2018-04-08,7020.01,399.9
2018-04-09,6771.13,398.8
2018-04-10,6824.99,415.45
2018-04-11,6942.99,430.81
2018-04-12,7916.0,493.41
2018-04-13,7893.19,495.76
2018-04-14,8003.11,502.4
2018-04-15,8355.25,533.74
2018-04-16,8048.93,511.28
2018-04-17,7892.1,502.42
2018-04-18,8152.05,525.89
2018-04-19,8274.0,567.29
2018-04-20,8866.27,617.17
2018-04-21,8915.42,605.16
